,Area Code (ISO3),Area,Item,Value
42,GHA,Ghana,"Cow peas, dry",204549.6867712825
43,GRC,Greece,"Cow peas, dry",792.0185681545295
44,GTM,Guatemala,"Cow peas, dry",0.0484305829892226
45,GIN,Guinea,"Cow peas, dry",0.9299908876401451
46,GNB,Guinea-Bissau,"Cow peas, dry",881.5494050217404
47,GUY,Guyana,"Cow peas, dry",149.95
48,HTI,Haiti,"Cow peas, dry",30582.31
49,HKG,Hong Kong,"Cow peas, dry",136.73074049988594
50,HUN,Hungary,"Cow peas, dry",0.0
51,IND,India,"Cow peas, dry",1714.6086594429446
52,IDN,Indonesia,"Cow peas, dry",125.17917244955164
53,IRN,Iran,"Cow peas, dry",1170.9896565567497
54,IRQ,Iraq,"Cow peas, dry",2112.0058578796006
55,IRL,Ireland,"Cow peas, dry",35.263443600124496
56,ISR,Israel,"Cow peas, dry",111.0
57,ITA,Italy,"Cow peas, dry",195.8873384429138
58,JAM,Jamaica,"Cow peas, dry",349.1993878782796
59,JPN,Japan,"Cow peas, dry",719.3133944023834
60,JOR,Jordan,"Cow peas, dry",40.45916939573536
61,KEN,Kenya,"Cow peas, dry",258358.67670624875
62,KWT,Kuwait,"Cow peas, dry",173.02215233560668
63,LBN,Lebanon,"Cow peas, dry",46.40864232772588
64,LSO,Lesotho,"Cow peas, dry",9.2680390202261
65,LBR,Liberia,"Cow peas, dry",0.424968686084774
66,LTU,Lithuania,"Cow peas, dry",0.1897871527558444
67,LUX,Luxembourg,"Cow peas, dry",0.0
68,MAC,Macau,"Cow peas, dry",0.0999457312059254
69,MDG,Madagascar,"Cow peas, dry",8389.051008992932
70,MWI,Malawi,"Cow peas, dry",56884.9770359734
71,MYS,Malaysia,"Cow peas, dry",171.49894843079144
72,MDV,Maldives,"Cow peas, dry",1.618091088956081
73,MLI,Mali,"Cow peas, dry",297936.3679374555
74,MLT,Malta,"Cow peas, dry",2.727261583699484
75,MHL,Marshall Islands,"Cow peas, dry",0.2729911836160811
76,MRT,Mauritania,"Cow peas, dry",7928.26
77,MDA,Moldova,"Cow peas, dry",0.0
78,MOZ,Mozambique,"Cow peas, dry",82814.92998169757
79,MMR,Myanmar,"Cow peas, dry",108642.00631232104
80,NAM,Namibia,"Cow peas, dry",29.149032879167564
81,NPL,Nepal,"Cow peas, dry",159.94952641524347
82,NLD,Netherlands,"Cow peas, dry",90.12949261344748
83,NZL,New Zealand,"Cow peas, dry",79.52934185936225
84,NER,Niger,"Cow peas, dry",2637504.637737975
85,NGA,Nigeria,"Cow peas, dry",3642224.780890073
86,MKD,North Macedonia,"Cow peas, dry",7610.74
87,NOR,Norway,"Cow peas, dry",4.824536673176143
88,OMN,Oman,"Cow peas, dry",570.052269199462
89,PAK,Pakistan,"Cow peas, dry",380.9999168261324
90,PSE,Palestine,"Cow peas, dry",144.16
91,PAN,Panama,"Cow peas, dry",227.71564368159156
92,PNG,Papua New Guinea,"Cow peas, dry",18.96912427622924
93,PER,Peru,"Cow peas, dry",8635.574661234226
94,PHL,Philippines,"Cow peas, dry",468.6199770443637
95,POL,Poland,"Cow peas, dry",0.0
96,PRT,Portugal,"Cow peas, dry",93.15736312160035
97,QAT,Qatar,"Cow peas, dry",659.9985739615684
98,ROU,Romania,"Cow peas, dry",0.0
99,RUS,Russia,"Cow peas, dry",24.14640712613309
100,RWA,Rwanda,"Cow peas, dry",0.0499982636195799
101,SAU,Saudi Arabia,"Cow peas, dry",510.4672474098101
102,SEN,Senegal,"Cow peas, dry",253648.21998733695
103,SRB,Serbia,"Cow peas, dry",16040.451917373966
104,SYC,Seychelles,"Cow peas, dry",4.969950395864278
105,SLE,Sierra Leone,"Cow peas, dry",0.0691001510233979
106,SGP,Singapore,"Cow peas, dry",332.86117394175426
107,SVK,Slovakia,"Cow peas, dry",0.0822707374894168
108,SVN,Slovenia,"Cow peas, dry",0.0686997285823715
109,SOM,Somalia,"Cow peas, dry",3.169759304755221
110,ZAF,South Africa,"Cow peas, dry",4466.404715235263
111,KOR,South Korea,"Cow peas, dry",314.2494819519697
112,SSD,South Sudan,"Cow peas, dry",2301.678658420834
113,ESP,Spain,"Cow peas, dry",418.63639201790255
114,LKA,Sri Lanka,"Cow peas, dry",14546.653846538744
115,SDN,Sudan,"Cow peas, dry",148209.89959815552
116,SUR,Suriname,"Cow peas, dry",2.2308833395537158
117,SWE,Sweden,"Cow peas, dry",42.93909099176351
118,CHE,Switzerland,"Cow peas, dry",12.56538564866626
119,SYR,Syria,"Cow peas, dry",0.0
120,TWN,Taiwan,"Cow peas, dry",38.39999470470615
121,TZA,Tanzania,"Cow peas, dry",143441.19955033838
122,THA,Thailand,"Cow peas, dry",44.75997372137395
123,TGO,Togo,"Cow peas, dry",1.309988452583884
124,TTO,Trinidad and Tobago,"Cow peas, dry",558.4592859776587
125,TUR,Türkiye,"Cow peas, dry",0.0
126,UGA,Uganda,"Cow peas, dry",16810.853669843702
127,UKR,Ukraine,"Cow peas, dry",4.446232502232569
128,ARE,United Arab Emirates,"Cow peas, dry",3339.350684558659
129,GBR,United Kingdom,"Cow peas, dry",1529.9960280774053
130,USA,United States,"Cow peas, dry",18793.635752644692
131,VNM,Vietnam,"Cow peas, dry",1437.1390242264092
132,YEM,Yemen,"Cow peas, dry",55940.63
133,ZMB,Zambia,"Cow peas, dry",8964.283597497675
134,ZWE,Zimbabwe,"Cow peas, dry",89.99999999999999
135,BEN,Benin,"Cow peas, dry",0.0
136,FRO,Faroe Islands,"Cow peas, dry",0.0
137,GAB,Gabon,"Cow peas, dry",0.0
138,ISL,Iceland,"Cow peas, dry",0.0
139,ALB,Albania,"Cow peas, dry",0.0
140,ARM,Armenia,"Cow peas, dry",0.0
141,BGD,Bangladesh,"Cow peas, dry",0.0
142,BOL,Bolivia,"Cow peas, dry",0.0
143,BRA,Brazil,"Cow peas, dry",0.0
144,KHM,Cambodia,"Cow peas, dry",0.0
145,CHL,Chile,"Cow peas, dry",0.0
146,COM,Comoros,"Cow peas, dry",0.0
147,COG,Congo Republic,"Cow peas, dry",0.0
148,DJI,Djibouti,"Cow peas, dry",0.0
149,ECU,Ecuador,"Cow peas, dry",0.0
150,SLV,El Salvador,"Cow peas, dry",0.0
151,ERI,Eritrea,"Cow peas, dry",0.0
152,ETH,Ethiopia,"Cow peas, dry",0.0
153,GMB,Gambia,"Cow peas, dry",0.0
154,KAZ,Kazakhstan,"Cow peas, dry",0.0
155,LVA,Latvia,"Cow peas, dry",0.0
156,LBY,Libya,"Cow peas, dry",0.0
157,MUS,Mauritius,"Cow peas, dry",0.0
158,MEX,Mexico,"Cow peas, dry",0.0
159,MNG,Mongolia,"Cow peas, dry",0.0
160,MNE,Montenegro,"Cow peas, dry",0.0
161,MAR,Morocco,"Cow peas, dry",0.0
162,NCL,New Caledonia,"Cow peas, dry",0.0
163,STP,Sao Tome and Principe,"Cow peas, dry",0.0
164,TJK,Tajikistan,"Cow peas, dry",0.0
165,TUN,Tunisia,"Cow peas, dry",0.0
166,UZB,Uzbekistan,"Cow peas, dry",0.0
167,KGZ,Kyrgyz Republic,"Cow peas, dry",0.0
168,PRY,Paraguay,"Cow peas, dry",0.0
169,BLZ,Belize,"Cow peas, dry",0.0
170,COK,Cook Islands,"Cow peas, dry",0.0
171,CRI,Costa Rica,"Cow peas, dry",0.0
172,DMA,Dominica,"Cow peas, dry",0.0
173,PYF,French Polynesia,"Cow peas, dry",0.0
174,GRD,Grenada,"Cow peas, dry",0.0
175,HND,Honduras,"Cow peas, dry",0.0
176,KIR,Kiribati,"Cow peas, dry",0.0
177,LAO,Laos,"Cow peas, dry",0.0
178,FSM,"Micronesia, Fed. Sts.","Cow peas, dry",0.0
179,NRU,Nauru,"Cow peas, dry",0.0
180,NIC,Nicaragua,"Cow peas, dry",0.0
181,NIU,Niue,"Cow peas, dry",0.0
182,PRK,North Korea,"Cow peas, dry",0.0
183,SLB,Solomon Islands,"Cow peas, dry",0.0
184,KNA,St. Kitts and Nevis,"Cow peas, dry",0.0
185,LCA,St. Lucia,"Cow peas, dry",0.0
186,VCT,St. Vincent and the Grenadines,"Cow peas, dry",0.0
187,TLS,Timor-Leste,"Cow peas, dry",0.0
188,TON,Tonga,"Cow peas, dry",0.0
189,TKM,Turkmenistan,"Cow peas, dry",0.0
190,TUV,Tuvalu,"Cow peas, dry",0.0
191,URY,Uruguay,"Cow peas, dry",0.0
192,VUT,Vanuatu,"Cow peas, dry",0.0
193,VEN,Venezuela,"Cow peas, dry",0.0
194,BDI,Burundi,"Cow peas, dry",0.0
195,TCD,Chad,"Cow peas, dry",0.0
196,WSM,Samoa,"Cow peas, dry",0.0
197,TKL,Tokelau,"Cow peas, dry",0.0
198,PRI,Puerto Rico,"Cow peas, dry",0.0
199,AFG,Afghanistan,Fonio,0.0
200,DZA,Algeria,Fonio,0.0
201,AGO,Angola,Fonio,0.0
202,ATG,Antigua and Barbuda,Fonio,0.0
203,ARG,Argentina,Fonio,0.0
204,AUS,Australia,Fonio,0.0
205,AUT,Austria,Fonio,0.1114248729404301
206,AZE,Azerbaijan,Fonio,0.0
207,BHS,Bahamas,Fonio,0.0
208,BHR,Bahrain,Fonio,0.0594918910693713
209,BRB,Barbados,Fonio,0.0
210,BLR,Belarus,Fonio,0.0
211,BEL,Belgium,Fonio,0.0
212,BTN,Bhutan,Fonio,0.0
213,BIH,Bosnia and Herzegovina,Fonio,0.0
214,BWA,Botswana,Fonio,0.0
215,BRN,Brunei Darussalam,Fonio,0.0
216,BGR,Bulgaria,Fonio,0.0
217,BFA,Burkina Faso,Fonio,10724.340427264577
218,CPV,Cabo Verde,Fonio,0.0
219,CMR,Cameroon,Fonio,0.0
220,CAN,Canada,Fonio,3.54
221,CAF,Central African Republic,Fonio,0.0
222,CHN,China,Fonio,0.0
223,COL,Colombia,Fonio,0.0
224,CIV,Cote d'Ivoire,Fonio,18614.06212178066
225,HRV,Croatia,Fonio,0.0
226,CUB,Cuba,Fonio,0.0
227,CYP,Cyprus,Fonio,0.0
228,CZE,Czechia,Fonio,0.0015542166941192
229,COD,DR Congo,Fonio,0.0
230,DNK,Denmark,Fonio,0.0
231,DOM,Dominican Republic,Fonio,0.0
232,EGY,Egypt,Fonio,0.0094712964237505
233,GNQ,Equatorial Guinea,Fonio,0.0
234,EST,Estonia,Fonio,0.0
235,SWZ,Eswatini,Fonio,0.0
236,FJI,Fiji,Fonio,0.0
237,FIN,Finland,Fonio,0.0
238,FRA,France,Fonio,132.05450824452737
239,GEO,Georgia,Fonio,0.0
240,DEU,Germany,Fonio,0.0
241,GHA,Ghana,Fonio,0.0
242,GRC,Greece,Fonio,0.0
243,GTM,Guatemala,Fonio,0.0
244,GIN,Guinea,Fonio,480245.591326866
245,GNB,Guinea-Bissau,Fonio,295.0
246,GUY,Guyana,Fonio,0.0
247,HTI,Haiti,Fonio,0.0
248,HKG,Hong Kong,Fonio,0.0
249,HUN,Hungary,Fonio,0.0
250,IND,India,Fonio,0.0
251,IDN,Indonesia,Fonio,0.0
252,IRN,Iran,Fonio,0.0
253,IRQ,Iraq,Fonio,0.0
254,IRL,Ireland,Fonio,0.0
255,ISR,Israel,Fonio,0.0
256,ITA,Italy,Fonio,0.0
257,JAM,Jamaica,Fonio,0.0
258,JPN,Japan,Fonio,0.07
259,JOR,Jordan,Fonio,0.0
260,KEN,Kenya,Fonio,0.0
261,KWT,Kuwait,Fonio,0.3210286904471087
262,LBN,Lebanon,Fonio,0.0
263,LSO,Lesotho,Fonio,0.0
264,LBR,Liberia,Fonio,0.0
265,LTU,Lithuania,Fonio,0.0
266,LUX,Luxembourg,Fonio,0.2660669414052558
267,MAC,Macau,Fonio,0.0
268,MDG,Madagascar,Fonio,0.0
269,MWI,Malawi,Fonio,0.0
270,MYS,Malaysia,Fonio,0.0
271,MDV,Maldives,Fonio,0.0
272,MLI,Mali,Fonio,43874.13195902452
273,MLT,Malta,Fonio,0.0
274,MHL,Marshall Islands,Fonio,0.0
275,MRT,Mauritania,Fonio,0.0
276,MDA,Moldova,Fonio,0.0
277,MOZ,Mozambique,Fonio,0.0
278,MMR,Myanmar,Fonio,0.0
279,NAM,Namibia,Fonio,0.0
280,NPL,Nepal,Fonio,0.0
281,NLD,Netherlands,Fonio,51.55870037734833
282,NZL,New Zealand,Fonio,0.0
283,NER,Niger,Fonio,5671.400000348238
284,NGA,Nigeria,Fonio,86147.92043028078
285,MKD,North Macedonia,Fonio,0.0
286,NOR,Norway,Fonio,0.0
287,OMN,Oman,Fonio,0.0
288,PAK,Pakistan,Fonio,0.0
289,PSE,Palestine,Fonio,0.0
290,PAN,Panama,Fonio,0.0
291,PNG,Papua New Guinea,Fonio,0.0
292,PER,Peru,Fonio,0.0
293,PHL,Philippines,Fonio,0.0
294,POL,Poland,Fonio,0.0015542166941192
295,PRT,Portugal,Fonio,1.9775052795116177
296,QAT,Qatar,Fonio,0.0
297,ROU,Romania,Fonio,0.0047346472956996
298,RUS,Russia,Fonio,0.0
299,RWA,Rwanda,Fonio,0.0
300,SAU,Saudi Arabia,Fonio,0.7691669971179285
301,SEN,Senegal,Fonio,6721.211874449731
302,SRB,Serbia,Fonio,0.0
303,SYC,Seychelles,Fonio,0.0
304,SLE,Sierra Leone,Fonio,0.0
305,SGP,Singapore,Fonio,0.0
306,SVK,Slovakia,Fonio,0.0
307,SVN,Slovenia,Fonio,0.0
308,SOM,Somalia,Fonio,0.0
309,ZAF,South Africa,Fonio,0.0
310,KOR,South Korea,Fonio,0.0
311,SSD,South Sudan,Fonio,0.0
312,ESP,Spain,Fonio,0.0
313,LKA,Sri Lanka,Fonio,0.0
314,SDN,Sudan,Fonio,0.0
315,SUR,Suriname,Fonio,0.0
316,SWE,Sweden,Fonio,0.0208375922795488
317,CHE,Switzerland,Fonio,21.0559775470746
318,SYR,Syria,Fonio,0.0
319,TWN,Taiwan,Fonio,0.0
320,TZA,Tanzania,Fonio,0.0
321,THA,Thailand,Fonio,0.0
322,TGO,Togo,Fonio,0.0
323,TTO,Trinidad and Tobago,Fonio,0.0
324,TUR,Türkiye,Fonio,0.0
325,UGA,Uganda,Fonio,0.0
326,UKR,Ukraine,Fonio,0.0
327,ARE,United Arab Emirates,Fonio,0.3596105441070834
328,GBR,United Kingdom,Fonio,16.740000000000002
329,USA,United States,Fonio,61.03
330,VNM,Vietnam,Fonio,0.0
331,YEM,Yemen,Fonio,0.0
332,ZMB,Zambia,Fonio,0.0
333,ZWE,Zimbabwe,Fonio,0.0
334,BEN,Benin,Fonio,4382.36
335,FRO,Faroe Islands,Fonio,0.2246564860636774
336,GAB,Gabon,Fonio,0.6299976333672676
337,ISL,Iceland,Fonio,0.7155725111657872
338,ALB,Albania,Fonio,0.0
339,ARM,Armenia,Fonio,0.0
340,BGD,Bangladesh,Fonio,0.0
341,BOL,Bolivia,Fonio,0.0
342,BRA,Brazil,Fonio,0.0
343,KHM,Cambodia,Fonio,0.0
344,CHL,Chile,Fonio,0.0
345,COM,Comoros,Fonio,0.0
346,COG,Congo Republic,Fonio,0.0
347,DJI,Djibouti,Fonio,0.0
348,ECU,Ecuador,Fonio,0.0
349,SLV,El Salvador,Fonio,0.0
350,ERI,Eritrea,Fonio,0.0
351,ETH,Ethiopia,Fonio,0.0
352,GMB,Gambia,Fonio,0.0
353,KAZ,Kazakhstan,Fonio,0.0
354,LVA,Latvia,Fonio,0.0
355,LBY,Libya,Fonio,0.0
356,MUS,Mauritius,Fonio,0.0
357,MEX,Mexico,Fonio,0.0
358,MNG,Mongolia,Fonio,0.0
359,MNE,Montenegro,Fonio,0.0
360,MAR,Morocco,Fonio,0.0
361,NCL,New Caledonia,Fonio,0.0
362,STP,Sao Tome and Principe,Fonio,0.0
363,TJK,Tajikistan,Fonio,0.0
364,TUN,Tunisia,Fonio,0.0
365,UZB,Uzbekistan,Fonio,0.0
366,KGZ,Kyrgyz Republic,Fonio,0.0
367,PRY,Paraguay,Fonio,0.0
368,BLZ,Belize,Fonio,0.0
369,COK,Cook Islands,Fonio,0.0
370,CRI,Costa Rica,Fonio,0.0
371,DMA,Dominica,Fonio,0.0
372,PYF,French Polynesia,Fonio,0.0
373,GRD,Grenada,Fonio,0.0
374,HND,Honduras,Fonio,0.0
375,KIR,Kiribati,Fonio,0.0
376,LAO,Laos,Fonio,0.0
377,FSM,"Micronesia, Fed. Sts.",Fonio,0.0
378,NRU,Nauru,Fonio,0.0
379,NIC,Nicaragua,Fonio,0.0
380,NIU,Niue,Fonio,0.0
381,PRK,North Korea,Fonio,0.0
382,SLB,Solomon Islands,Fonio,0.0
383,KNA,St. Kitts and Nevis,Fonio,0.0
384,LCA,St. Lucia,Fonio,0.0
385,VCT,St. Vincent and the Grenadines,Fonio,0.0
386,TLS,Timor-Leste,Fonio,0.0
387,TON,Tonga,Fonio,0.0
388,TKM,Turkmenistan,Fonio,0.0
389,TUV,Tuvalu,Fonio,0.0
390,URY,Uruguay,Fonio,0.0
391,VUT,Vanuatu,Fonio,0.0
392,VEN,Venezuela,Fonio,0.0
393,BDI,Burundi,Fonio,0.0
394,TCD,Chad,Fonio,0.0
395,WSM,Samoa,Fonio,0.0
396,TKL,Tokelau,Fonio,0.0
397,PRI,Puerto Rico,Fonio,0.0
398,AFG,Afghanistan,Figs,15997.91912668294
399,DZA,Algeria,Figs,116143.0
400,AGO,Angola,Figs,0.0
401,ATG,Antigua and Barbuda,Figs,0.0
402,ARG,Argentina,Figs,764.9061289799437
403,AUS,Australia,Figs,77.32594233207782
404,AUT,Austria,Figs,0.0
405,AZE,Azerbaijan,Figs,12266.0
406,BHS,Bahamas,Figs,0.1636474467784347
407,BHR,Bahrain,Figs,172.3466610208475
408,BRB,Barbados,Figs,0.0
409,BLR,Belarus,Figs,13.822823005691662
410,BEL,Belgium,Figs,524.6963096614691
411,BTN,Bhutan,Figs,0.0139302623957777
412,BIH,Bosnia and Herzegovina,Figs,1007.1306821529264
413,BWA,Botswana,Figs,0.0
414,BRN,Brunei Darussalam,Figs,0.0
415,BGR,Bulgaria,Figs,0.0067906447054042
416,BFA,Burkina Faso,Figs,0.0
417,CPV,Cabo Verde,Figs,0.0299663209082146
418,CMR,Cameroon,Figs,91.78
419,CAN,Canada,Figs,807.2349147266473
420,CAF,Central African Republic,Figs,0.0
421,CHN,China,Figs,13556.696644805565
422,COL,Colombia,Figs,2615.166406060853
423,CIV,Cote d'Ivoire,Figs,12.408966043529158
424,HRV,Croatia,Figs,754.8304609100836
425,CUB,Cuba,Figs,0.0
426,CYP,Cyprus,Figs,1673.6422864402557
427,CZE,Czechia,Figs,206.6782694860199
428,COD,DR Congo,Figs,0.1682846694785637
429,DNK,Denmark,Figs,274.7003659216383
430,DOM,Dominican Republic,Figs,0.0
431,EGY,Egypt,Figs,299163.0203892856
432,GNQ,Equatorial Guinea,Figs,0.0
433,EST,Estonia,Figs,10.85715395640263
434,SWZ,Eswatini,Figs,0.0
435,FJI,Fiji,Figs,0.0
436,FIN,Finland,Figs,93.1766971151444
437,FRA,France,Figs,6471.32396364228
438,GEO,Georgia,Figs,0.1448576362709863
439,DEU,Germany,Figs,734.5684172804638
440,GHA,Ghana,Figs,0.0041454248719687
441,GRC,Greece,Figs,19154.61231657268
442,GTM,Guatemala,Figs,0.0
443,GIN,Guinea,Figs,0.2230904853901439
444,GNB,Guinea-Bissau,Figs,0.0
445,GUY,Guyana,Figs,0.0
446,HTI,Haiti,Figs,0.0
447,HKG,Hong Kong,Figs,143.22892675669644
448,HUN,Hungary,Figs,0.0
449,IND,India,Figs,14473.672951720187
450,IDN,Indonesia,Figs,154.98514742056238
451,IRN,Iran,Figs,112546.12
452,IRQ,Iraq,Figs,9324.960039008134
453,IRL,Ireland,Figs,46.44906614914642
454,ISR,Israel,Figs,2381.0
455,ITA,Italy,Figs,10696.802744629556
456,JAM,Jamaica,Figs,0.0
457,JPN,Japan,Figs,12520.467162196805
458,JOR,Jordan,Figs,366.5756240056743
459,KEN,Kenya,Figs,8.795620665537477
460,KWT,Kuwait,Figs,0.0
461,LBN,Lebanon,Figs,3303.1954656790303
462,LSO,Lesotho,Figs,0.0
463,LBR,Liberia,Figs,0.294177006558809
464,LTU,Lithuania,Figs,27.592949795051425
465,LUX,Luxembourg,Figs,188.11225039436465
466,MAC,Macau,Figs,14.998424562486456
467,MDG,Madagascar,Figs,1.2869564648032434
468,MWI,Malawi,Figs,0.0
469,MYS,Malaysia,Figs,55.411164017609785
470,MDV,Maldives,Figs,0.0929621895004662
471,MLI,Mali,Figs,0.0
472,MLT,Malta,Figs,67.66836536805943
473,MHL,Marshall Islands,Figs,0.0099993827226623
474,MRT,Mauritania,Figs,0.8994422228898674
475,MDA,Moldova,Figs,1.4992725674656944
476,MOZ,Mozambique,Figs,0.0
477,MMR,Myanmar,Figs,0.0
478,NAM,Namibia,Figs,0.0
479,NPL,Nepal,Figs,196.0287866108605
480,NLD,Netherlands,Figs,0.0
481,NZL,New Zealand,Figs,0.219081864144188
482,NER,Niger,Figs,0.1399998350112466
483,NGA,Nigeria,Figs,0.1194482011387287
484,MKD,North Macedonia,Figs,879.6593436021785
485,NOR,Norway,Figs,43.266878887274125
486,OMN,Oman,Figs,136.01547098641888
487,PAK,Pakistan,Figs,0.0084124969723404
488,PSE,Palestine,Figs,4272.84
489,PAN,Panama,Figs,0.269755062257096
490,PNG,Papua New Guinea,Figs,0.0
491,PER,Peru,Figs,2076.327114197776
492,PHL,Philippines,Figs,0.198073421451157
493,POL,Poland,Figs,198.17345530314788
494,PRT,Portugal,Figs,4549.466978148583
495,QAT,Qatar,Figs,529.2100307770862
496,ROU,Romania,Figs,53.96665406642685
497,RUS,Russia,Figs,1671.2315346346288
498,RWA,Rwanda,Figs,0.0
499,SAU,Saudi Arabia,Figs,0.0
500,SEN,Senegal,Figs,0.1586334532597649
501,SRB,Serbia,Figs,10.609438175636477
502,SYC,Seychelles,Figs,0.4593673390693226
503,SLE,Sierra Leone,Figs,0.0036098204725884
504,SGP,Singapore,Figs,59.35548664768797
505,SVK,Slovakia,Figs,65.54341801959677
506,SVN,Slovenia,Figs,179.1140912899513
507,SOM,Somalia,Figs,14.315863503865067
508,ZAF,South Africa,Figs,2063.587762862121
509,KOR,South Korea,Figs,3.971689870858756
510,SSD,South Sudan,Figs,0.0175292174336531
511,ESP,Spain,Figs,55692.81483362117
512,LKA,Sri Lanka,Figs,3.2948954037267346
513,SDN,Sudan,Figs,5.233845379135302
514,SUR,Suriname,Figs,0.0
515,SWE,Sweden,Figs,266.66203902322286
516,CHE,Switzerland,Figs,789.0583951484741
517,SYR,Syria,Figs,47675.31735279082
518,TWN,Taiwan,Figs,41.7185516561443
519,TZA,Tanzania,Figs,1.4458399789764833
520,THA,Thailand,Figs,0.4094547989911952
521,TGO,Togo,Figs,0.0085263672928678
522,TTO,Trinidad and Tobago,Figs,0.0
523,TUR,Türkiye,Figs,320040.8184765747
524,UGA,Uganda,Figs,0.2582332491716923
525,UKR,Ukraine,Figs,55.05973559835333
526,ARE,United Arab Emirates,Figs,0.0070795161168462
527,GBR,United Kingdom,Figs,1047.3689299170096
528,USA,United States,Figs,27914.33263819493
529,VNM,Vietnam,Figs,231.09030148003657
530,YEM,Yemen,Figs,5565.929796696245
531,ZMB,Zambia,Figs,0.7026453144829263
532,ZWE,Zimbabwe,Figs,0.0237969457782796
533,BEN,Benin,Figs,0.2581558213996928
534,FRO,Faroe Islands,Figs,0.6682807710874772
535,GAB,Gabon,Figs,0.0774684912503885
536,ISL,Iceland,Figs,1.011238676415492
537,ALB,Albania,Figs,21894.0474897201
538,ARM,Armenia,Figs,19.269999999999754
539,BGD,Bangladesh,Figs,31.36441677002645
540,BOL,Bolivia,Figs,652.0
541,BRA,Brazil,Figs,18418.376188872186
542,KHM,Cambodia,Figs,0.4726981026404428
543,CHL,Chile,Figs,105.08459036349976
544,COM,Comoros,Figs,0.0461590519558508
545,COG,Congo Republic,Figs,0.0243092533120993
546,DJI,Djibouti,Figs,44.38016994150655
547,ECU,Ecuador,Figs,36.23
548,SLV,El Salvador,Figs,0.01
549,ERI,Eritrea,Figs,0.2212764183425937
550,ETH,Ethiopia,Figs,0.2193095168462151
551,GMB,Gambia,Figs,0.0340329546369391
552,KAZ,Kazakhstan,Figs,0.0
553,LVA,Latvia,Figs,0.0
554,LBY,Libya,Figs,10335.47
555,MUS,Mauritius,Figs,0.7883308947506988
556,MEX,Mexico,Figs,11187.52
557,MNG,Mongolia,Figs,0.4386671330269258
558,MNE,Montenegro,Figs,3848.639351393775
559,MAR,Morocco,Figs,144224.13924920667
560,NCL,New Caledonia,Figs,0.0477276334565415
561,STP,Sao Tome and Principe,Figs,0.0096315181204643
562,TJK,Tajikistan,Figs,1220.77
563,TUN,Tunisia,Figs,19319.009630368244
564,UZB,Uzbekistan,Figs,30300.0
565,KGZ,Kyrgyz Republic,Figs,0.0
566,PRY,Paraguay,Figs,0.0
567,BLZ,Belize,Figs,0.0
568,COK,Cook Islands,Figs,0.0
569,CRI,Costa Rica,Figs,0.0
570,DMA,Dominica,Figs,0.0
571,PYF,French Polynesia,Figs,0.0
572,GRD,Grenada,Figs,0.0
573,HND,Honduras,Figs,0.0
574,KIR,Kiribati,Figs,0.0
575,LAO,Laos,Figs,0.0
