NAME_EN,ISIMIP climate projection; wheat
Dominican Republic,N/A
Chad,N/A
Kuwait,-0.34221499999999999
El Salvador,N/A
Guatemala,-0.1021570000000
Timor-Leste,N/A
Brunei,N/A
Monaco,0.14408000000000
Algeria,0.093461000000000002
Mozambique,N/A
eSwatini,N/A
Burundi,0.11935800000000001
Rwanda,0.070939000000000002
Myanmar,-0.097782999999999995
Bangladesh,-0.21047800000000000
Andorra,0.31989600000000001
Afghanistan,0.41285100000000002
Montenegro,0.47508200000000000
Bosnia and Herzegovina,0.28873700000000002
Uganda,0.160585000000000
Guantanamo Bay Naval Base,N/A
Cuba,N/A
Honduras,N/A
Ecuador,0.042063999999999997
Colombia,0.0082150000000000001
Paraguay,-0.13214899999999999
Portugal,0.12361700000000000
Republic of Moldova,0.22506100000000001
Turkmenistan,0.40048000000000000
Jordan,0.070330000000000004
Nepal,0.36429400000000001
Lesotho,0.12903400000000001
Cameroon,N/A
Gabon,N/A
Niger,-0.15344500000000000
Burkina Faso,N/A
Togo,N/A
Ghana,N/A
Guinea-Bissau,N/A
Gibraltar,N/A
United States of America,0.28265299999999999
Canada,0.118974000000000
Mexico,-0.16980100000000001
Belize,N/A
Panama,N/A
Venezuela (Bolivarian Republic of),N/A
Papua New Guinea,N/A
Egypt,0.089352000000000001
Yemen,0.17178700000000000
Mauritania,N/A
Equatorial Guinea,N/A
Gambia,N/A
Hong Kong,N/A
Vatican City,0.0026099999999999999
Australia,0.50777499999999998
Greenland,N/A
Fiji,N/A
New Caledonia,N/A
Madagascar,N/A
Philippines,N/A
Sri Lanka,N/A
Curaçao,N/A
Aruba,N/A
The Bahamas,N/A
Turks and Caicos Islands,N/A
Japan,0.53335200000000005
Saint Pierre and Miquelon,N/A
Iceland,N/A
Pitcairn Islands,N/A
French Polynesia,N/A
French Southern and Antarctic Lands,N/A
Seychelles,N/A
Kiribati,N/A
Marshall Islands,N/A
Trinidad and Tobago,N/A
Grenada,N/A
Saint Vincent and the Grenadines,N/A
Barbados,N/A
Saint Lucia,N/A
Dominica,N/A
Montserrat,N/A
Antigua and Barbuda,N/A
Saint Kitts and Nevis,N/A
United States Virgin Islands,N/A
Saint-Barthélemy,N/A
Puerto Rico,N/A
Anguilla,N/A
British Virgin Islands,N/A
Jamaica,N/A
Cayman Islands,N/A
Bermuda,N/A
Heard Island and McDonald Islands,N/A
Saint Helena,N/A
Mauritius,N/A
Comoros,N/A
São Tomé and Príncipe,N/A
Cape Verde,N/A
Malta,N/A
Jersey,N/A
Guernsey,N/A
Isle of Man,N/A
Faroe Islands,N/A
British Indian Ocean Territory,N/A
Singapore,N/A
Norfolk Island,N/A
Cook Islands,N/A
Tonga,N/A
Wallis and Futuna,N/A
Samoa,N/A
Solomon Islands,N/A
Tuvalu,N/A
Maldives,N/A
Nauru,N/A
Federated States of Micronesia,N/A
South Georgia and the South Sandwich Islands,N/A
Falkland Islands,N/A
Vanuatu,N/A
Niue,N/A
American Samoa,N/A
Palau,N/A
Guam,N/A
Northern Mariana Islands,N/A
Bahrain,N/A
Clipperton Island,N/A
Macau,N/A
Netherlands,0.32205800000000001
Australian Indian Ocean Territories,N/A
Australian Indian Ocean Territories,N/A
United States Minor Outlying Islands,N/A
New Zealand,0.257151000000000
